year,team,conference
2021,"LMU (CA)",WCC
2021,"Long Beach St.","Big West"
2021,Longwood,"Big South"
2021,Louisiana,"Sun Belt"
2021,"Louisiana Tech",C-USA
2021,Louisville,ACC
2021,"Loyola Chicago",MVC
2021,"Loyola Maryland",Patriot
2021,LSU,SEC
2021,Maine,"America East"
2021,Manhattan,MAAC
2021,Marist,MAAC
2021,Marquette,"Big East"
2021,Marshall,C-USA
2021,Maryland,"Big Ten"
2021,Massachusetts,"Atlantic 10"
2021,McNeese,Southland
2021,Memphis,AAC
2021,Mercer,SoCon
2021,Merrimack,NEC
2021,"Miami (FL)",ACC
2021,"Miami (OH)",MAC
2021,Michigan,"Big Ten"
2021,"Michigan St.","Big Ten"
2021,"Middle Tenn.",C-USA
2021,Milwaukee,Horizon
2021,Minnesota,"Big Ten"
2021,"Mississippi St.",SEC
2021,"Mississippi Val.",SWAC
2021,Missouri,SEC
2021,"Missouri St.",MVC
2021,Monmouth,MAAC
2021,Montana,"Big Sky"
2021,"Montana St.","Big Sky"
2021,"Morehead St.",OVC
2021,"Morgan St.",MEAC
2021,"Mount St. Mary's",NEC
2021,"Murray St.",OVC
2021,"N.C. A&T",MEAC
2021,"N.C. Central",MEAC
2021,Navy,Patriot
2021,"NC State",ACC
2021,Nebraska,"Big Ten"
2021,Nevada,"Mountain West"
2021,"New Hampshire","America East"
2021,"New Mexico","Mountain West"
2021,"New Mexico St.",WAC
2021,"New Orleans",Southland
2021,Niagara,MAAC
2021,Nicholls,Southland
2021,NJIT,"America East"
2021,"Norfolk St.",MEAC
2021,"North Ala.",ASUN
2021,"North Carolina",ACC
2021,"North Dakota","Summit League"
2021,"North Dakota St.","Summit League"
2021,"North Florida",ASUN
2021,"North Texas",C-USA
2021,Northeastern,CAA
2021,"Northern Ariz.","Big Sky"
2021,"Northern Colo.","Big Sky"
2021,"Northern Ill.",MAC
2021,"Northern Ky.",Horizon
2021,Northwestern,"Big Ten"
2021,"Northwestern St.",Southland
2021,"Notre Dame",ACC
2021,Oakland,Horizon
2021,Ohio,MAC
2021,"Ohio St.","Big Ten"
2021,Oklahoma,"Big 12"
2021,"Oklahoma St.","Big 12"
2021,"Old Dominion",C-USA
2021,"Ole Miss",SEC
2021,Omaha,"Summit League"
2021,"Oral Roberts","Summit League"
2021,Oregon,Pac-12
2021,"Oregon St.",Pac-12
2021,Pacific,WCC
2021,"Penn St.","Big Ten"
2021,Pepperdine,WCC
2021,Pittsburgh,ACC
2021,Portland,WCC
2021,"Portland St.","Big Sky"
2021,"Prairie View",SWAC
2021,Presbyterian,"Big South"
2021,Providence,"Big East"
2021,Purdue,"Big Ten"
2021,"Purdue Fort Wayne",Horizon
2021,Quinnipiac,MAAC
2021,Radford,"Big South"
2021,"Rhode Island","Atlantic 10"
2021,Rice,C-USA
2021,Richmond,"Atlantic 10"
2021,Rider,MAAC
2021,"Robert Morris",Horizon
2021,Rutgers,"Big Ten"
2021,"Sacramento St.","Big Sky"
2021,"Sacred Heart",NEC
2021,"Saint Francis (PA)",NEC
2021,"Saint Joseph's","Atlantic 10"
2021,"Saint Louis","Atlantic 10"
2021,"Saint Mary's (CA)",WCC
2021,"Saint Peter's",MAAC
2021,"Sam Houston",Southland
2021,Samford,SoCon
2021,"San Diego",WCC
2021,"San Diego St.","Mountain West"
2021,"San Francisco",WCC
2021,"San Jose St.","Mountain West"
2021,"Santa Clara",WCC
2021,"Seattle U",WAC
2021,"Seton Hall","Big East"
2021,SFA,Southland
2021,Siena,MAAC
2021,SIUE,OVC
2021,SMU,AAC
2021,"South Alabama","Sun Belt"
2021,"South Carolina",SEC
2021,"South Carolina St.",MEAC
2021,"South Dakota","Summit League"
2021,"South Dakota St.","Summit League"
2021,"South Fla.",AAC
2021,"Southeast Mo. St.",OVC
2021,"Southeastern La.",Southland
2021,"Southern California",Pac-12
2021,"Southern Ill.",MVC
2021,"Southern Miss.",C-USA
2021,"Southern U.",SWAC
2021,"Southern Utah","Big Sky"
2021,"St. Bonaventure","Atlantic 10"
2021,"St. Francis Brooklyn",NEC
2021,"St. John's (NY)","Big East"
2021,Stanford,Pac-12
2021,Stetson,ASUN
2021,"Stony Brook","America East"
2021,Syracuse,ACC
2021,"Tarleton St.",WAC
2021,TCU,"Big 12"
2021,Temple,AAC
2021,Tennessee,SEC
2021,"Tennessee St.",OVC
2021,"Tennessee Tech",OVC
2021,Texas,"Big 12"
2021,"Texas A&M",SEC
2021,"Texas Southern",SWAC
2021,"Texas St.","Sun Belt"
2021,"Texas Tech","Big 12"
2021,"The Citadel",SoCon
2021,Toledo,MAC
2021,Towson,CAA
2021,Troy,"Sun Belt"
2021,Tulane,AAC
2021,Tulsa,AAC
2021,UAB,C-USA
2021,"UC Davis","Big West"
2021,"UC Irvine","Big West"
2021,"UC Riverside","Big West"
2021,"UC San Diego","Big West"
2021,"UC Santa Barbara","Big West"
2021,UCF,AAC
2021,UCLA,Pac-12
2021,UConn,"Big East"
2021,UIC,Horizon
2021,UIW,Southland
2021,ULM,"Sun Belt"
2021,"UMass Lowell","America East"
2021,UMBC,"America East"
2021,"UNC Asheville","Big South"
2021,"UNC Greensboro",SoCon
2021,UNCW,CAA
2021,UNI,MVC
2021,UNLV,"Mountain West"
2021,"USC Upstate","Big South"
2021,"UT Arlington","Sun Belt"
2021,"UT Martin",OVC
2021,Utah,Pac-12
2021,"Utah St.","Mountain West"
2021,"Utah Valley",WAC
2021,UTEP,C-USA
2021,UTRGV,WAC
2021,UTSA,C-USA
2021,Valparaiso,MVC
2021,Vanderbilt,SEC
2021,VCU,"Atlantic 10"
2021,Vermont,"America East"
2021,Villanova,"Big East"
2021,Virginia,ACC
2021,"Virginia Tech",ACC
2021,VMI,SoCon
2021,Wagner,NEC
2021,"Wake Forest",ACC
2021,Washington,Pac-12
2021,"Washington St.",Pac-12
2021,"Weber St.","Big Sky"
2021,"West Virginia","Big 12"
2021,"Western Caro.",SoCon
2021,"Western Ill.","Summit League"
2021,"Western Ky.",C-USA
2021,"Western Mich.",MAC
2021,"Wichita St.",AAC
2021,"William & Mary",CAA
2021,Winthrop,"Big South"
2021,Wisconsin,"Big Ten"
2021,Wofford,SoCon
2021,"Wright St.",Horizon
2021,Wyoming,"Mountain West"
2021,Xavier,"Big East"
2021,"Youngstown St.",Horizon
